week,line,margin,year
3,-10.5,6,2000
3,-3.0,9,2000
3,-2.5,-3,2000
3,-6.0,-10,2000
3,-1.5,8,2000
3,-1.5,-13,2000
3,-1.0,-13,2000
3,-4.5,-32,2000
3,-17.0,-17,2000
3,-3.0,-1,2003
3,-6.5,21,2003
3,-7.5,-7,2003
2,-7.5,-15,2003
3,-5.5,2,2006
3,-6.0,-7,2003
3,-4.0,-21,2012
3,-3.0,5,2012
3,-7.0,-17,2012
3,-4.0,-3,2012
3,-3.0,29,2012
2,-3.0,-6,2012
2,-7.0,-8,2012
4,-3.0,7,2013
4,-4.5,-24,2013
4,-4.0,10,2013
5,-3.0,4,2012
4,-11.5,-32,2013
4,-2.0,3,2013
4,-4.0,24,2013
6,-1.5,-10,2013
6,-1.0,13,2013
8,-4.5,-40,2013
8,-3.0,-1,2013
8,-5.5,8,2013
8,-7.0,-6,2013
8,-9.0,13,2013
10,-3.0,-13,2013
8,-15.0,32,2013
13,-3.0,-3,2013
13,-1.0,-10,2013
13,-6.0,7,2013
13,-7.5,-10,2013
13,-6.5,-30,2013
13,-2.5,-2,2013
13,-3.5,-8,2013
13,-7.0,4,2013
13,-3.5,-4,2013
13,-1.0,7,2013
13,-4.5,-27,2013
13,-7.0,3,2013
13,-2.0,20,2013
13,-7.0,-21,2013
20,-8.5,-13,2009
19,-9.0,3,2009
18,-4.0,19,2009
19,-2.5,-31,2009
18,-2.5,-7,2009
18,-2.5,10,2009
20,-3.5,-7,2009
18,-3.5,-20,2009
17,-8.0,-23,2009
17,-10.0,-37,2009
17,-3.0,10,2009
17,-3.0,26,2009
20,-3.5,-7,2008
20,-6.0,-9,2008
19,-6.5,-11,2008
17,-4.5,14,2009
19,-4.0,12,2008
19,-3.0,3,2008
19,-10.0,20,2008
17,-7.0,-1,2008
19,-6.5,-17,2009
17,-2.5,7,2008
17,-5.5,13,2008
17,-11.0,-10,2008
19,-7.0,-31,2009
17,-1.5,2,2008
17,-3.0,-7,2008
17,-14.0,-4,2008
17,-1.5,-10,2008
17,-11.5,-31,2008
17,-3.0,-23,2008
17,-7.0,-13,2008
17,-7.0,-31,2008
18,-2.0,-6,2008
18,-3.5,12,2008
17,-2.0,-38,2008
17,-3.0,-3,2008
17,-10.5,7,2008
17,-10.5,-20,2008
16,-4.0,-7,2008
18,-2.5,-3,2008
12,-4.5,21,2013
12,-1.5,4,2013
12,-2.5,-10,2013
13,-7.5,-7,2013
12,-3.0,-29,2013
18,-3.5,18,2008
12,-9.0,3,2013
12,-10.0,7,2013
12,-3.5,3,2013
12,-3.0,3,2013
12,-9.5,4,2013
12,-1.0,16,2013
11,-3.0,-4,2013
11,-5.5,-21,2013
